id,name,year,headSize,strungWeight,balance,balancePts,swingweight,stiffness,beamWidth,pattern,tensionRange,powerLevel,strokeStyle,swingSpeed,frameProfile,identity,notes
tecnifibre-tfight-315s,Tecnifibre TFight 315S,,98,332,32,7 pts HL,325,65,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Lightweight,TWU: twistweight=16.2 vibration=145Hz power=41% sweetzone=17sqin
tecnifibre-tfight-320-16x20,Tecnifibre TFight 320 (16x20),,97,337,31.1,10 pts HL,312,64,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard Spin,TWU: twistweight=11.1 vibration=145Hz power=38% sweetzone=12sqin
tecnifibre-tfight-320-18x20,Tecnifibre TFight 320 (18x20),,97,329,31.8,8 pts HL,308,64,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard Precision,TWU: twistweight=12.1 vibration=145Hz power=39% sweetzone=13sqin
tecnifibre-tfight-320-vo2-max,Tecnifibre TFight 320 VO2 Max,,95,335,32.4,6 pts HL,327,66,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=11.7 vibration=150Hz power=40% sweetzone=14sqin
tecnifibre-tfight-325-vo2-max,Tecnifibre TFight 325 VO2 Max,,95,340,31.8,8 pts HL,323,68,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=12.3 vibration=155Hz power=39% sweetzone=14sqin
tecnifibre-tfight-325-xl-vo2-max,Tecnifibre TFight 325 XL VO2 Max,,95,340,32.4,8 pts HL,338,68,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=11.1 vibration=155Hz power=41% sweetzone=15sqin length=27.5in
tecnifibre-tfight-335-mp-16x20,Tecnifibre TFight 335 MP (16x20),,97,311,31.4,9 pts HL,320,63,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",All-Rounder Spin,TWU: twistweight=10.3 vibration=143Hz power=40% sweetzone=14sqin
tecnifibre-tfight-335-mp-18x20,Tecnifibre TFight 335 MP (18x20),,97,326,33,4 pts HL,316,63,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",All-Rounder Precision,TWU: twistweight=11.3 vibration=143Hz power=41% sweetzone=15sqin
tecnifibre-tfight-dc-300,Tecnifibre TFight DC 300,,98,315,32.5,6 pts HL,304,70,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=161Hz power=39% sweetzone=14sqin
tecnifibre-tfight-dc-305,Tecnifibre TFight DC 305,,98,322,32.8,5 pts HL,315,66,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=14.1 vibration=147Hz power=40% sweetzone=16sqin
tecnifibre-tfight-dc-315,Tecnifibre TFight DC 315,,98,326,32,7 pts HL,307,70,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=14.5 vibration=156Hz power=40% sweetzone=15sqin
tecnifibre-tfight-dc-315-ltd-16x19,Tecnifibre TFight DC 315 Ltd. (16x19),,98,329,31.8,8 pts HL,305,62,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=13 vibration=141Hz power=39% sweetzone=14sqin
tecnifibre-tfight-dc-315-ltd-18x20,Tecnifibre TFight DC 315 Ltd. (18x20),,98,329,32.2,7 pts HL,298,62,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard Precision,TWU: twistweight=12.8 vibration=138Hz power=38% sweetzone=12sqin
tecnifibre-tfight-dc-320,Tecnifibre TFight DC 320,,98,335,32.2,7 pts HL,320,69,"22.5,22.5,22.5",16x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 16x19 pattern",Standard,TWU: twistweight=15 vibration=153Hz power=41% sweetzone=16sqin
tecnifibre-tfight-iso-295,Tecnifibre TFight ISO 295,,100,312,33.5,2 pts HL,324,70,"22.5,22.5,22.5",18x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 18x19 pattern",Standard,TWU: twistweight=15.1 vibration=161Hz power=41% sweetzone=17sqin
tecnifibre-tfight-iso-300,Tecnifibre TFight ISO 300,,98,318,32,7 pts HL,320,66,"22.5,22.5,22.5",18x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 18x19 pattern",Standard,TWU: twistweight=14.6 vibration=148Hz power=41% sweetzone=16sqin
tecnifibre-tfight-iso-305,Tecnifibre TFight ISO 305,,98,320,33.3,3 pts HL,335,64,"22.5,22.5,22.5",18x19,"49,59",Low-Medium,Full,Fast,"22.5/22.5/22.5mm beam, 18x19 pattern",Standard,TWU: twistweight=15 vibration=141Hz power=42% sweetzone=18sqin
